"gene_id"	"transcript_id"	"gene_sympol"	"gene_name"	"pfam_sympol"	"seed_ortholog"	"evalue"
"ptg000007lG000009"	"ptg000007lG000009.mRNA1"	"PNP"	"The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate"	"PNP_UDP_1"	"215358.XP_010751539.1"	2.07e-140
"ptg000007lG000010"	"ptg000007lG000010.mRNA1"	"ANKRD34A"	"ankyrin repeat"	"Ank_2,Ank_4"	"215358.XP_010751544.1"	0
"ptg000007lG000012"	"ptg000007lG000012.mRNA1"	"IQGAP3"	"IQ motif containing GTPase activating protein 3"	"CH,IQ,RasGAP,RasGAP_C"	"215358.XP_010751537.1"	0
"ptg000007lG000013"	"ptg000007lG000013.mRNA1"	"TTC24"	"tetratricopeptide repeat"	"TPR_10,TPR_12,TPR_16,TPR_2,TPR_4,TPR_7,TPR_8"	"215358.XP_010751543.1"	0
"ptg000007lG000014"	"ptg000007lG000014.mRNA1"	"Akhr"	"Gonadotropin-releasing hormone"	"7tm_1"	"215358.XP_010751542.1"	1.33e-68
"ptg000007lG000015"	"ptg000007lG000015.mRNA1"	"-"	"Immunoglobulin superfamily DCC subclass member 3-like"	"I-set,Ig_3,fn3"	"215358.XP_010751541.1"	0
"ptg000007lG000016"	"ptg000007lG000016.mRNA1"	"POLR3GL"	"DNA-directed RNA polymerase III subunit RPC7-like"	"RNA_pol_3_Rpc31"	"215358.XP_010751534.1"	2.86e-73
"ptg000007lG000017"	"ptg000007lG000017.mRNA1"	"TXNIP"	"ubiquitin-dependent endocytosis"	"Arrestin_C,Arrestin_N"	"215358.XP_010751533.1"	7.05e-289
"ptg000007lG000018"	"ptg000007lG000018.mRNA1"	"BNIPL"	"Bcl-2 adenovirus E1B"	"BNIP2,CRAL_TRIO_2"	"215358.XP_010751532.1"	1.54e-185
"ptg000007lG000019"	"ptg000007lG000019.mRNA1"	"myo1e"	"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family"	"Myosin_TH1,Myosin_head,SH3_1,SH3_9"	"215358.XP_010751530.1"	0
"ptg000007lG000020"	"ptg000007lG000020.mRNA1"	"PI4KB"	"Phosphatidylinositol 4-kinase"	"PI3_PI4_kinase"	"144197.XP_008296565.1"	0
"ptg000007lG000021"	"ptg000007lG000021.mRNA1"	"SELENBP1"	"Selenium binding protein 1"	"SBP56"	"215358.XP_010751780.1"	0
"ptg000007lG000022"	"ptg000007lG000022.mRNA1"	"POGZ"	"Transposase IS4"	"DDE_1,HTH_Tnp_Tc5"	"215358.XP_010751784.1"	0
"ptg000007lG000023"	"ptg000007lG000023.mRNA1"	"-"	"retinol dehydrogenase"	"adh_short"	"215358.XP_010751778.1"	2.64e-235
"ptg000007lG000024"	"ptg000007lG000024.mRNA1"	"Smad4"	"mothers against decapentaplegic homolog"	"MH1,MH2"	"215358.XP_010751783.1"	0
"ptg000007lG000027"	"ptg000007lG000027.mRNA1"	"TSPAN19"	"Tetraspanin 19"	"Tetraspannin"	"215358.XP_010751774.1"	2.33e-142
"ptg000007lG000030"	"ptg000007lG000030.mRNA1"	"HFE2"	"Hemochromatosis type 2"	"RGM_C,RGM_N"	"215358.XP_010751773.1"	2.63e-283
"ptg000007lG000031"	"ptg000007lG000031.mRNA1"	"THBS3"	"Thrombospondin 3a"	"COMP,EGF_CA,TSP_3,TSP_C"	"8153.XP_005948314.1"	1.06e-167
"ptg000007lG000032"	"ptg000007lG000032.mRNA1"	"THBS3"	"Thrombospondin 3a"	"COMP,EGF_CA,TSP_3,TSP_C"	"215358.XP_010751772.1"	7.12e-293
"ptg000007lG000034"	"ptg000007lG000034.mRNA1"	"MTX1"	"Metaxin 1a"	"GST_C_6,Tom37"	"303518.XP_005753187.1"	1.56e-280
"ptg000007lG000035"	"ptg000007lG000035.mRNA1"	"WBSCR27"	"region 27"	"Methyltransf_11,Methyltransf_25"	"215358.XP_010747323.1"	1.45e-83
"ptg000007lG000036"	"ptg000007lG000036.mRNA1"	"WBSCR27"	"region 27"	"Methyltransf_11,Methyltransf_25"	"215358.XP_010747323.1"	3.67e-111
"ptg000007lG000037"	"ptg000007lG000037.mRNA1"	"SYT11"	"Synaptotagmin XIa"	"C2"	"215358.XP_010747322.1"	0
"ptg000007lG000038"	"ptg000007lG000038.mRNA1"	"PLIN4"	"Perilipin 4"	"Perilipin"	"215358.XP_010747328.1"	0
"ptg000007lG000039"	"ptg000007lG000039.mRNA1"	"-"	"carbohydrate binding"	"Lectin_C"	"8081.XP_008401322.1"	8.35e-79
"ptg000007lG000040"	"ptg000007lG000040.mRNA1"	"s100a14"	"S100 calcium binding protein"	"S_100"	"8010.XP_010871964.1"	4.84e-32
"ptg000007lG000041"	"ptg000007lG000041.mRNA1"	"DCST2"	"DC-STAMP domain containing 2"	"DC_STAMP"	"215358.XP_010747320.1"	0
"ptg000007lG000042"	"ptg000007lG000042.mRNA1"	"DCST1"	"DC-STAMP domain containing 1"	"DC_STAMP"	"215358.XP_010747319.1"	9.49e-221
"ptg000007lG000044"	"ptg000007lG000044.mRNA1"	"ADAM15"	"disintegrin and metalloproteinase"	"ADAM_CR,Disintegrin,Pep_M12B_propep,Reprolysin"	"215358.XP_010747327.1"	0
"ptg000007lG000046"	"ptg000007lG000046.mRNA1"	"TMEM116"	"Transmembrane protein 116"	"-"	"215358.XP_010753469.1"	2.48e-174
"ptg000007lG000047"	"ptg000007lG000047.mRNA1"	"SIGLEC15"	"Ig-like lectin 15"	"I-set,V-set"	"215358.XP_010752074.1"	6.67e-193
"ptg000007lG000048"	"ptg000007lG000048.mRNA1"	"CMTM7"	"CKLF-like MARVEL transmembrane"	"MARVEL"	"215358.XP_010752072.1"	3.01e-72
"ptg000007lG000049"	"ptg000007lG000049.mRNA1"	"NEK11"	"Serine threonine-protein kinase"	"Pkinase"	"303518.XP_005744222.1"	5.7e-170
"ptg000007lG000050"	"ptg000007lG000050.mRNA1"	"CPNE4"	"Copine"	"C2,Copine"	"215358.XP_010751162.1"	0
"ptg000007lG000051"	"ptg000007lG000051.mRNA1"	"CMTM6"	"CKLF-like MARVEL transmembrane domain containing 6"	"MARVEL"	"215358.XP_010751158.1"	4.36e-129
"ptg000007lG000052"	"ptg000007lG000052.mRNA1"	"-"	"Immunoglobulin V-set domain"	"Ig_2,Ig_3,V-set"	"215358.XP_010751159.1"	8.84e-181
"ptg000007lG000053"	"ptg000007lG000053.mRNA1"	"TG"	"Thyroglobulin"	"COesterase,Ephrin_rec_like,Thyroglobulin_1"	"215358.XP_010751163.1"	0
"ptg000007lG000055"	"ptg000007lG000055.mRNA1"	"NUDT17"	"Nudix (nucleoside diphosphate linked moiety X)-type motif 17"	"NUDIX"	"215358.XP_010751164.1"	1.22e-178
"ptg000007lG000056"	"ptg000007lG000056.mRNA1"	"MS4A1"	"Membrane-spanning 4-domains subfamily A member"	"CD20"	"303518.XP_005744227.1"	7.86e-62
"ptg000007lG000057"	"ptg000007lG000057.mRNA1"	"SEMA4A"	"negative chemotaxis"	"PSI,Sema"	"215358.XP_010751161.1"	0
"ptg000007lG000059"	"ptg000007lG000059.mRNA1"	"-"	"Zinc finger protein"	"zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-met"	"215358.XP_010754844.1"	1.9e-162
"ptg000007lG000060"	"ptg000007lG000060.mRNA1"	"MRPS12"	"Ribosomal protein S12"	"Ribosom_S12_S23"	"215358.XP_010748336.1"	2.64e-97
"ptg000007lG000061"	"ptg000007lG000061.mRNA1"	"-"	"Ectonucleotide pyrophosphatase phosphodiesterase family member 7-like"	"Phosphodiest"	"215358.XP_010754558.1"	0
"ptg000007lG000062"	"ptg000007lG000062.mRNA1"	"-"	"Complement component C1q domain."	"C1q"	"215358.XP_010754725.1"	4.75e-221
"ptg000007lG000063"	"ptg000007lG000063.mRNA1"	"SLC4A7"	"Solute carrier family 4, sodium bicarbonate cotransporter, member 7"	"Band_3_cyto,HCO3_cotransp"	"106582.XP_004571124.1"	3.81e-244
"ptg000007lG000066"	"ptg000007lG000066.mRNA1"	"-"	"sensory perception of sound"	"IgGFc_binding,Lectin_C,VWA,VWD"	"8153.XP_005941089.1"	4.09e-163
"ptg000007lG000067"	"ptg000007lG000067.mRNA1"	"GABBR2"	"Gamma-aminobutyric acid (GABA) B receptor, 2"	"7tm_3,ANF_receptor"	"215358.XP_010753190.1"	0
"ptg000007lG000068"	"ptg000007lG000068.mRNA1"	"RPP25L"	"ribonuclease P"	"Alba"	"215358.XP_010754812.1"	1.9e-155
"ptg000007lG000070"	"ptg000007lG000070.mRNA1"	"COL6A5"	"collagen"	"Collagen,Kunitz_BPTI,VWA"	"215358.XP_010754813.1"	4.44e-305
"ptg000007lG000071"	"ptg000007lG000071.mRNA1"	"col6a6"	"collagen"	"Collagen,Kunitz_BPTI,VWA"	"215358.XP_010752060.1"	0
"ptg000007lG000072"	"ptg000007lG000072.mRNA1"	"col6a6"	"collagen"	"Collagen,Kunitz_BPTI,VWA"	"215358.XP_010753251.1"	0
"ptg000007lG000073"	"ptg000007lG000073.mRNA1"	"PIK3R4"	"regulatory subunit 4"	"Pkinase,WD40"	"144197.XP_008296189.1"	0
"ptg000007lG000074"	"ptg000007lG000074.mRNA1"	"ATP2C1"	"This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium"	"Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase"	"215358.XP_010753250.1"	0
"ptg000007lG000075"	"ptg000007lG000075.mRNA1"	"ASTE1"	"asteroid homolog"	"XPG_I_2,XPG_N"	"215358.XP_010753253.1"	0
"ptg000007lG000076"	"ptg000007lG000076.mRNA1"	"ALDH5A1"	"Aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)"	"Aldedh"	"144197.XP_008297210.1"	0
"ptg000007lG000077"	"ptg000007lG000077.mRNA1"	"KIAA0319"	"kiaa0319"	"REJ"	"215358.XP_010747676.1"	0
"ptg000007lG000078"	"ptg000007lG000078.mRNA1"	"DENND4B"	"DENN MADD domain containing 4B"	"DENN,PPR_3,dDENN,uDENN"	"215358.XP_010747678.1"	0
"ptg000007lG000079"	"ptg000007lG000079.mRNA1"	"DENND4B"	"DENN MADD domain containing 4B"	"DENN,PPR_3,dDENN,uDENN"	"215358.XP_010747678.1"	0
"ptg000007lG000081"	"ptg000007lG000081.mRNA1"	"CRTC2"	"transcription coactivator"	"TORC_C,TORC_M,TORC_N"	"215358.XP_010747691.1"	0
"ptg000007lG000082"	"ptg000007lG000082.mRNA1"	"SLC39A1"	"Solute carrier family 39 (zinc transporter), member 3"	"Zip"	"215358.XP_010747681.1"	7.21e-219
"ptg000007lG000084"	"ptg000007lG000084.mRNA1"	"DEK"	"DEK oncogene"	"DEK_C"	"215358.XP_010747692.1"	1.56e-121
"ptg000007lG000085"	"ptg000007lG000085.mRNA1"	"-"	"Function to find"	"CARD,FIIND,PYRIN"	"215358.XP_010747688.1"	6.69e-257
"ptg000007lG000086"	"ptg000007lG000086.mRNA1"	"KCNV1"	"channel subfamily V member 1"	"BTB_2,Ion_trans"	"215358.XP_010754298.1"	0
"ptg000007lG000087"	"ptg000007lG000087.mRNA1"	"CREB3L4"	"cAMP responsive element binding protein 3-like 4"	"bZIP_1"	"215358.XP_010752877.1"	3.11e-256
"ptg000007lG000088"	"ptg000007lG000088.mRNA1"	"NPR1"	"Natriuretic peptide receptor"	"ANF_receptor,Guanylate_cyc,Pkinase_Tyr"	"303518.XP_005744160.1"	2.98e-47
"ptg000007lG000089"	"ptg000007lG000089.mRNA1"	"NPR1"	"Natriuretic peptide receptor"	"ANF_receptor,Guanylate_cyc,Pkinase_Tyr"	"8128.ENSONIP00000001901"	7.3e-171
"ptg000007lG000090"	"ptg000007lG000090.mRNA1"	"NPR1"	"Natriuretic peptide receptor"	"ANF_receptor,Guanylate_cyc,Pkinase_Tyr"	"215358.XP_010750082.1"	4.8e-160
"ptg000007lG000091"	"ptg000007lG000091.mRNA1"	"NPR1"	"Natriuretic peptide receptor"	"ANF_receptor,Guanylate_cyc,Pkinase_Tyr"	"215358.XP_010750082.1"	8.47e-277
"ptg000007lG000092"	"ptg000007lG000092.mRNA1"	"FRAT2"	"Glycogen synthase kinase binding protein"	"GSK-3_bind"	"215358.XP_010750083.1"	5.06e-126
"ptg000007lG000093"	"ptg000007lG000093.mRNA1"	"hmr-1"	"Cadherins are calcium-dependent cell adhesion proteins"	"Cadherin,Cadherin_C,EGF,Laminin_G_2,hEGF"	"215358.XP_010752697.1"	0
"ptg000007lG000094"	"ptg000007lG000094.mRNA1"	"hmr-1"	"Cadherins are calcium-dependent cell adhesion proteins"	"Cadherin,Cadherin_C,EGF,Laminin_G_2,hEGF"	"144197.XP_008281407.1"	0
"ptg000007lG000095"	"ptg000007lG000095.mRNA1"	"CCNE2"	"Belongs to the cyclin family"	"Cyclin_C,Cyclin_N"	"215358.XP_010754819.1"	1.42e-291
"ptg000007lG000096"	"ptg000007lG000096.mRNA1"	"TP53INP1"	"Tumor protein p53 inducible nuclear protein 1"	"DOR"	"215358.XP_010754818.1"	5.46e-161
"ptg000007lG000098"	"ptg000007lG000098.mRNA1"	"NAGPA"	"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"	"EGF_2,NAGPA"	"215358.XP_010753834.1"	6.13e-305
"ptg000007lG000099"	"ptg000007lG000099.mRNA1"	"WDR73"	"WD repeat-containing protein"	"WD40"	"215358.XP_010753830.1"	3.44e-260
"ptg000007lG000100"	"ptg000007lG000100.mRNA1"	"PLEKHF2"	"Pleckstrin homology domain containing, family F (with FYVE domain) member 2"	"FYVE,PH"	"215358.XP_010753829.1"	2.63e-179
"ptg000007lG000101"	"ptg000007lG000101.mRNA1"	"-"	"Belongs to the G-protein coupled receptor 1 family"	"7tm_1"	"215358.XP_010750825.1"	1.16e-241
"ptg000007lG000102"	"ptg000007lG000102.mRNA1"	"NDUFAF6"	"NADH dehydrogenase (ubiquinone) complex I, assembly factor"	"SQS_PSY"	"215358.XP_010750824.1"	3.12e-222
"ptg000007lG000103"	"ptg000007lG000103.mRNA1"	"C8orf37"	"Chromosome 8 open reading frame 37"	"RMP"	"215358.XP_010750821.1"	2.09e-150
"ptg000007lG000104"	"ptg000007lG000104.mRNA1"	"cd83"	"Si ch211-149p10.2"	"V-set,ig"	"215358.XP_010750819.1"	1.99e-147
"ptg000007lG000106"	"ptg000007lG000106.mRNA1"	"-"	"Zgc 113232"	"Collagen"	"215358.XP_010750822.1"	7.33e-93
"ptg000007lG000107"	"ptg000007lG000107.mRNA1"	"SNRNP48"	"small nuclear ribonucleoprotein 48"	"zf-U11-48K"	"215358.XP_010750816.1"	2.39e-141
"ptg000007lG000108"	"ptg000007lG000108.mRNA1"	"-"	"-"	"-"	"32507.XP_006791823.1"	2.67e-74
"ptg000007lG000109"	"ptg000007lG000109.mRNA1"	"SRI"	"EF-hand domain pair"	"EF-hand_5,EF-hand_6,EF-hand_8"	"215358.XP_010750814.1"	8.6e-117
"ptg000007lG000110"	"ptg000007lG000110.mRNA1"	"-"	"Homeodomain interacting protein kinase 1"	"Pkinase"	"215358.XP_010750813.1"	0
"ptg000007lG000111"	"ptg000007lG000111.mRNA1"	"-"	"Lecithin retinol acyltransferase"	"LRAT"	"8153.XP_005953103.1"	3.02e-19
"ptg000007lG000112"	"ptg000007lG000112.mRNA1"	"-"	"Lecithin retinol acyltransferase"	"LRAT"	"8153.XP_005953103.1"	2.93e-23
"ptg000007lG000118"	"ptg000007lG000118.mRNA1"	"-"	"Ecdysteroid kinase"	"EcKinase"	"215358.XP_010750882.1"	4.93e-245
"ptg000007lG000119"	"ptg000007lG000119.mRNA1"	"HERPUD2"	"member 2"	"ubiquitin"	"215358.XP_010754732.1"	1.35e-223
"ptg000007lG000120"	"ptg000007lG000120.mRNA1"	"TBX20"	"T-box transcription factor"	"T-box"	"215358.XP_010754259.1"	1.91e-305
"ptg000007lG000123"	"ptg000007lG000123.mRNA1"	"DPY19L1"	"Dpy-19-like 1, like (H. sapiens)"	"Dpy19"	"144197.XP_008289498.1"	0
"ptg000007lG000124"	"ptg000007lG000124.mRNA1"	"SMARCC1"	"SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member"	"Myb_DNA-binding,SWIRM,SWIRM-assoc_1,SWIRM-assoc_2,SWIRM-assoc_3"	"8153.XP_005929503.1"	0
"ptg000007lG000126"	"ptg000007lG000126.mRNA1"	"CSPG5"	"Chondroitin sulfate proteoglycan"	"Chon_Sulph_att,Neural_ProG_Cyt"	"215358.XP_010752062.1"	1.67e-223
"ptg000007lG000127"	"ptg000007lG000127.mRNA1"	"ELP6"	"Elongator acetyltransferase complex subunit 6"	"ELP6"	"215358.XP_010752063.1"	7.53e-137
"ptg000007lG000128"	"ptg000007lG000128.mRNA1"	"SCAP"	"SREBF chaperone"	"Sterol-sensing,WD40"	"215358.XP_010752061.1"	0
"ptg000007lG000129"	"ptg000007lG000129.mRNA1"	"PTPN23"	"phosphatase, non-receptor type 23"	"ALIX_LYPXL_bnd,BRO1,Y_phosphatase"	"215358.XP_010746422.1"	0
"ptg000007lG000130"	"ptg000007lG000130.mRNA1"	"GABPB2"	"GA repeat binding protein, beta"	"Ank,Ank_2,Ank_4"	"215358.XP_010746418.1"	3.55e-176
"ptg000007lG000131"	"ptg000007lG000131.mRNA1"	"CTXN2"	"Cortexin of kidney"	"Cortexin"	"48698.ENSPFOP00000020293"	5.11e-27
"ptg000007lG000133"	"ptg000007lG000133.mRNA1"	"SEMA6C"	"Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin)"	"PSI,Sema"	"215358.XP_010746420.1"	0
"ptg000007lG000134"	"ptg000007lG000134.mRNA1"	"-"	"Soluble guanylate cyclase 88E-like"	"Guanylate_cyc,HNOB,HNOBA"	"215358.XP_010735451.1"	0
"ptg000007lG000135"	"ptg000007lG000135.mRNA1"	"TNFAIP8L2"	"Tumor necrosis factor alpha-induced protein"	"DUF758"	"215358.XP_010735433.1"	5.18e-128
"ptg000007lG000136"	"ptg000007lG000136.mRNA1"	"LYSMD1"	"peptidoglycan-binding, domain containing 1"	"LysM"	"215358.XP_010735435.1"	1.65e-120
"ptg000007lG000137"	"ptg000007lG000137.mRNA1"	"SCNM1"	"Sodium channel modifier 1"	"SCNM1_acidic,zf-SCNM1"	"215358.XP_010735452.1"	7.44e-152
"ptg000007lG000138"	"ptg000007lG000138.mRNA1"	"TMOD4"	"Tropomodulin 4 (muscle)"	"Tropomodulin"	"303518.XP_005739271.1"	4.9e-211
"ptg000007lG000139"	"ptg000007lG000139.mRNA1"	"MCL1"	"Myeloid cell leukemia sequence 1b"	"Bcl-2"	"215358.XP_010735438.1"	4.24e-206
"ptg000007lG000140"	"ptg000007lG000140.mRNA1"	"ENSA"	"Protein phosphatase inhibitor that specifically inhibits protein phosphatase 2A (PP2A) during mitosis"	"Endosulfine"	"215358.XP_010735439.1"	9.11e-77
"ptg000007lG000141"	"ptg000007lG000141.mRNA1"	"HORMAD1"	"HORMA domain containing 1"	"HORMA"	"215358.XP_010735440.1"	3.94e-226
"ptg000007lG000144"	"ptg000007lG000144.mRNA1"	"ONECUT3"	"One cut domain, family member"	"CUT,Homeobox"	"215358.XP_010735441.1"	5.98e-248
"ptg000007lG000145"	"ptg000007lG000145.mRNA1"	"CTSS"	"Belongs to the peptidase C1 family"	"Inhibitor_I29,Peptidase_C1"	"215358.XP_010735442.1"	4.74e-230
"ptg000007lG000146"	"ptg000007lG000146.mRNA1"	"CTSK"	"Belongs to the peptidase C1 family"	"Inhibitor_I29,Peptidase_C1"	"215358.XP_010735445.1"	1e-249
"ptg000007lG000147"	"ptg000007lG000147.mRNA1"	"LINGO4"	"Leucine rich repeat and Ig domain containing"	"I-set,LRRNT,LRR_8"	"215358.XP_010735446.1"	4.26e-227
"ptg000007lG000148"	"ptg000007lG000148.mRNA1"	"-"	"Belongs to the semaphorin family"	"PSI,Sema"	"144197.XP_008287181.1"	8.45e-271
"ptg000007lG000149"	"ptg000007lG000149.mRNA1"	"-"	"Toll-like receptor"	"LRR_6,LRR_8,TIR"	"215358.XP_010735448.1"	0
"ptg000007lG000150"	"ptg000007lG000150.mRNA1"	"s100a1"	"S100 calcium binding protein A1"	"EF-hand_1,S_100"	"31033.ENSTRUP00000001037"	7.38e-40
"ptg000007lG000152"	"ptg000007lG000152.mRNA1"	"PRDM1"	"PR domain containing 1a, with ZNF domain"	"SET,zf-C2H2"	"215358.XP_010743195.1"	0
"ptg000007lG000153"	"ptg000007lG000153.mRNA1"	"ATG5"	"ATG5 autophagy related 5 homolog (S. cerevisiae)"	"APG5"	"215358.XP_010743194.1"	8.37e-193
"ptg000007lG000154"	"ptg000007lG000154.mRNA1"	"DCTN3"	"Dynactin 3 (p22)"	"Dynactin_p22"	"215358.XP_010743190.1"	2.19e-125
"ptg000007lG000155"	"ptg000007lG000155.mRNA1"	"NT5C3A"	"5'-nucleotidase, cytosolic IIIA"	"UMPH-1"	"215358.XP_010743191.1"	1.72e-245
"ptg000007lG000156"	"ptg000007lG000156.mRNA1"	"BBS9"	"Bardet-Biedl syndrome 9"	"PHTB1_C,PHTB1_N"	"215358.XP_010743188.1"	0
"ptg000007lG000157"	"ptg000007lG000157.mRNA1"	"BBS9"	"Bardet-Biedl syndrome 9"	"PHTB1_C,PHTB1_N"	"144197.XP_008291757.1"	2.26e-67
"ptg000007lG000158"	"ptg000007lG000158.mRNA1"	"BMPER"	"endothelial regulator"	"C8,TIL,VWC,VWD"	"7918.ENSLOCP00000000568"	3.94e-30
"ptg000007lG000159"	"ptg000007lG000159.mRNA1"	"EAF1"	"factor 1"	"EAF"	"215358.XP_010743186.1"	1.1e-149
"ptg000007lG000160"	"ptg000007lG000160.mRNA1"	"METTL6"	"Methyltransferase like 6"	"Methyltransf_12,Methyltransf_23"	"144197.XP_008291753.1"	1.76e-171
"ptg000007lG000161"	"ptg000007lG000161.mRNA1"	"-"	"Zgc 174945"	"ig"	"8128.ENSONIP00000008490"	1.13e-40
"ptg000007lG000162"	"ptg000007lG000162.mRNA1"	"-"	"carbohydrate binding"	"Lectin_C"	"215358.XP_010751948.1"	2.97e-133
"ptg000007lG000164"	"ptg000007lG000164.mRNA1"	"SH3BP5"	"SH3-domain binding protein 5b (BTK-associated)"	"SH3BP5"	"215358.XP_010751944.1"	1.91e-220
"ptg000007lG000165"	"ptg000007lG000165.mRNA1"	"CAPN7"	"Belongs to the peptidase C2 family"	"Calpain_III,MIT,Peptidase_C2"	"215358.XP_010751945.1"	0
"ptg000007lG000166"	"ptg000007lG000166.mRNA1"	"CLEC12B"	"C-type lectin domain family 12, member B"	"Lectin_C,Ly49"	"215358.XP_010746193.1"	4.36e-180
"ptg000007lG000167"	"ptg000007lG000167.mRNA1"	"NES"	"Belongs to the intermediate filament family"	"Filament"	"215358.XP_010746195.1"	0
"ptg000007lG000168"	"ptg000007lG000168.mRNA1"	"MEF2D"	"enhancer factor 2d"	"HJURP_C,SRF-TF"	"8081.XP_008429046.1"	1.9e-114
"ptg000007lG000171"	"ptg000007lG000171.mRNA1"	"RHBG"	"Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily"	"Ammonium_transp"	"215358.XP_010746198.1"	4.27e-296
"ptg000007lG000172"	"ptg000007lG000172.mRNA1"	"HAPLN2"	"Hyaluronan and proteoglycan link protein 2"	"V-set,Xlink"	"215358.XP_010746199.1"	4.07e-294
"ptg000007lG000173"	"ptg000007lG000173.mRNA1"	"BCAN"	"Brevican"	"EGF,Lectin_C,Sushi,V-set,Xlink"	"8153.XP_005944423.1"	1.46e-163
"ptg000007lG000174"	"ptg000007lG000174.mRNA1"	"BCAN"	"Brevican"	"EGF,Lectin_C,Sushi,V-set,Xlink"	"215358.XP_010746207.1"	0
